%
%
% Run:      Table:P1                SWAN version:41.10.1
%
%       Xp            Yp            Depth         Hsig          Tm01          Tm_10         Tm02          RTpeak        Dir           Dspr        X-Windv       Y-Windv         dHs           dTm           Watlev   
%       [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [m/s]         [m/s]         [m]           [sec]         [m]      
%
       30000.       404500.        5.8231       1.62218        3.8071        6.1085        3.3116        3.1624       315.041       29.3972       13.1064       -9.1772      0.003504      0.000678        0.7600 
       35800.       404500.       13.6437       1.77235        4.1469        4.6359        3.9118        5.6008       296.743       24.7867       13.1064       -9.1772      0.001314      0.007865        0.7600 
       38260.       403451.       37.6838       1.38329        3.7742        4.2234        3.4634        4.6292       284.179       21.3947       13.1064       -9.1772      0.002379      0.001152        0.7600 
       35800.       404000.       37.7079       1.63926        3.9689        4.3337        3.7632        4.6292       300.464       26.1455       13.1064       -9.1772      0.000659      0.002977        0.7600 
       36844.       402839.       13.4432       1.49694        3.8932        4.3079        3.6595        4.6292       303.292       23.5556       13.1064       -9.1772      0.002344      0.002983        0.7600 
       36848.       402883.       16.8322       1.52344        3.9241        4.3247        3.6914        4.6292       301.910       23.4998       13.1064       -9.1772      0.003016      0.003677        0.7600 
       36853.       402928.       20.4044       1.54831        3.9522        4.3390        3.7217        4.6292       300.463       23.8358       13.1064       -9.1772      0.003370      0.004712        0.7600 
       36858.       402973.       24.0625       1.57010        3.9710        4.3456        3.7439        4.6292       298.970       24.3552       13.1064       -9.1772      0.003364      0.005629        0.7600 
       36863.       403017.       26.8799       1.58243        3.9770        4.3455        3.7526        4.6292       297.742       24.8413       13.1064       -9.1772      0.003117      0.006625        0.7600 
       36868.       403062.       28.3898       1.58534        3.9730        4.3412        3.7493        4.6292       296.877       25.1793       13.1064       -9.1772      0.002803      0.007229        0.7600 
       36873.       403107.       29.6619       1.58086        3.9622        4.3351        3.7369        4.6292       296.357       25.3571       13.1064       -9.1772      0.002336      0.007481        0.7600 
       36878.       403152.       30.4729       1.57217        3.9496        4.3297        3.7211        4.6292       296.044       25.4157       13.1064       -9.1772      0.001637      0.007607        0.7600 
       36882.       403196.       31.1257       1.56422        3.9397        4.3264        3.7080        4.6292       295.725       25.3791       13.1064       -9.1772      0.000906      0.007261        0.7600 
       36887.       403241.       31.4631       1.55760        3.9329        4.3243        3.6985        4.6292       295.374       25.2740       13.1064       -9.1772      0.000509      0.006577        0.7600 
       36892.       403286.       31.6850       1.55102        3.9285        4.3226        3.6918        4.6292       295.053       25.0980       13.1064       -9.1772      0.000680      0.005385        0.7600 
       36897.       403330.       31.4897       1.54435        3.9251        4.3208        3.6862        4.6292       294.779       24.8667       13.1064       -9.1772      0.001009      0.003986        0.7600 
       36902.       403375.       31.1097       1.53897        3.9219        4.3186        3.6813        4.6292       294.556       24.5981       13.1064       -9.1772      0.000935      0.003083        0.7600 
       36907.       403420.       30.6695       1.53554        3.9201        4.3166        3.6789        4.6292       294.356       24.2992       13.1064       -9.1772      0.000371      0.003021        0.7600 
       36912.       403465.       30.1632       1.53393        3.9198        4.3150        3.6790        4.6292       294.187       23.9619       13.1064       -9.1772      0.000218      0.002813        0.7600 
       36917.       403510.       29.5492       1.53458        3.9213        4.3154        3.6810        4.6292       294.046       23.5829       13.1064       -9.1772      0.000704      0.002573        0.7600 
       36922.       403554.       28.5734       1.53638        3.9238        4.3172        3.6838        4.6292       293.899       23.1761       13.1064       -9.1772      0.001190      0.002405        0.7600 
       36926.       403599.       27.7016       1.53742        3.9257        4.3177        3.6860        4.6292       293.716       22.7704       13.1064       -9.1772      0.001617      0.002010        0.7600 
       36931.       403644.       27.3729       1.53557        3.9258        4.3156        3.6863        4.6292       293.473       22.4023       13.1064       -9.1772      0.001629      0.001118        0.7600 
       36936.       403689.       27.1019       1.53094        3.9238        4.3117        3.6838        4.6292       293.085       22.1110       13.1064       -9.1772      0.001528      0.000992        0.7600 
       36941.       403733.       26.6698       1.52533        3.9205        4.3079        3.6793        4.6292       292.513       21.8908       13.1064       -9.1772      0.000899      0.000452        0.7600 
       36946.       403778.       26.1240       1.51963        3.9172        4.3049        3.6742        4.6292       291.760       21.7065       13.1064       -9.1772      0.000195      0.000263        0.7600 
       36951.       403823.       25.3193       1.51383        3.9124        4.3020        3.6667        4.6292       290.899       21.5257       13.1064       -9.1772      0.000192      0.000781        0.7600 
       36956.       403867.       24.2400       1.50610        3.9059        4.2984        3.6573        4.6292       290.000       21.3186       13.1064       -9.1772      0.000699      0.001438        0.7600 
       36961.       403912.       22.7860       1.49727        3.8993        4.2945        3.6475        4.6292       289.115       21.0744       13.1064       -9.1772      0.001008      0.002344        0.7600 
       36966.       403957.       20.6831       1.49042        3.8994        4.2981        3.6448        4.6292       288.221       20.7356       13.1064       -9.1772      0.001116      0.003621        0.7600 
       36970.       404002.       18.6084       1.49124        3.9145        4.3209        3.6551        5.6008       287.299       20.2615       13.1064       -9.1772      0.000608      0.003680        0.7600 
       36975.       404046.       17.2132       1.50115        3.9451        4.3670        3.6784        5.6008       286.273       19.7357       13.1064       -9.1772      0.000080      0.003809        0.7600 
       36980.       404091.       16.0882       1.51156        3.9802        4.4291        3.7027        5.6008       285.049       19.2596       13.1064       -9.1772      0.000060      0.003793        0.7600 
       36985.       404136.       15.2382       1.50788        4.0068        4.4934        3.7142        5.6008       283.429       18.8793       13.1064       -9.1772      0.000216      0.002868        0.7600 
       36990.       404180.       14.4569       1.48140        4.0151        4.5457        3.7020        5.6008       281.139       18.6219       13.1064       -9.1772      0.000813      0.001940        0.7600 
