%
%
% Run:F31   Table:BUOYS             SWAN version:41.10
%
%       Time               Xp            Yp            Botlev        Hsig          RTpeak        TPsmoo        Tm01          Tm02     
%       [ ]                [m]           [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]    
%
19821014.210000            6960.        11691.       15.0763       3.19125        8.1401        8.1469        6.6925        6.3431 
19821014.210000            9920.         9965.       11.6419       0.14139        1.1000        1.1100        0.8818        0.7653 
19821014.210000           11386.         9219.        5.7203       0.14139        1.1000        1.1100        0.8818        0.7653 
19821014.210000           11660.        10719.        5.6488       0.14139        1.1000        1.1100        0.8818        0.7653 
19821014.210000           14624.        10218.        3.8120       0.14139        1.1000        1.1100        0.8818        0.7653 
19821014.210000           14100.         8476.        4.5793       0.14139        1.1000        1.1100        0.8818        0.7653 
19821014.210000           13640.         7246.        4.1435       0.14139        1.1000        1.1100        0.8818        0.7653 
19821014.210000           20393.         8179.        5.5023       0.14139        1.1000        1.1100        0.8818        0.7653 
19821014.211000            6960.        11691.       15.0763       3.18830        8.1401        8.1468        6.6915        6.3419 
19821014.211000            9920.         9965.       11.6419       1.14593        8.9541        8.8867        6.6028        4.4250 
19821014.211000           11386.         9219.        5.7203       0.82328        8.9541        9.2694        6.0198        3.5168 
19821014.211000           11660.        10719.        5.6488       0.78989        8.9541        9.1988        5.9197        3.4068 
19821014.211000           14624.        10218.        3.8120       0.18907        9.8495        9.5417        1.1545        0.9134 
19821014.211000           14100.         8476.        4.5793       0.36807        9.8495        9.4811        3.1011        1.7330 
19821014.211000           13640.         7246.        4.1435       0.43399        9.8495        9.4779        3.7420        2.0209 
19821014.211000           20393.         8179.        5.5023       0.16688        1.1000        1.1175        0.9488        0.8163 
19821014.212000            6960.        11691.       15.0763       3.18839        8.1401        8.1468        6.6913        6.3417 
19821014.212000            9920.         9965.       11.6419       1.93509        8.9541        8.7226        6.6911        5.3520 
19821014.212000           11386.         9219.        5.7203       1.37649        8.9541        8.8946        6.2872        4.4813 
19821014.212000           11660.        10719.        5.6488       1.33512        8.9541        8.9025        6.2658        4.4122 
19821014.212000           14624.        10218.        3.8120       0.24490        9.8495        9.5854        1.4086        1.0585 
19821014.212000           14100.         8476.        4.5793       0.56753        9.8495        9.5831        3.6036        2.2415 
19821014.212000           13640.         7246.        4.1435       0.66515        9.8495        9.5893        4.1106        2.5680 
19821014.212000           20393.         8179.        5.5023       0.20303        9.8495        9.5549        1.0844        0.8992 
19821014.213000            6960.        11691.       15.0763       3.18851        8.1401        8.1468        6.6912        6.3415 
19821014.213000            9920.         9965.       11.6419       2.45939        8.9541        8.6272        6.5578        5.6134 
19821014.213000           11386.         9219.        5.7203       1.68786        8.9541        8.7859        5.9059        4.5908 
19821014.213000           11660.        10719.        5.6488       1.63430        8.9541        8.7956        5.8601        4.5124 
19821014.213000           14624.        10218.        3.8120       0.30120        9.8495        9.6187        1.5763        1.1713 
19821014.213000           14100.         8476.        4.5793       0.75029        9.8495        9.6109        3.6857        2.5231 
19821014.213000           13640.         7246.        4.1435       0.86540        9.8495        9.6042        4.0744        2.8198 
19821014.213000           20393.         8179.        5.5023       0.25401        9.8495        9.5683        1.2998        1.0221 
19821014.214000            6960.        11691.       15.0763       3.18864        8.1401        8.1468        6.6910        6.3413 
19821014.214000            9920.         9965.       11.6419       2.73581        8.1401        8.3282        6.4898        5.7110 
19821014.214000           11386.         9219.        5.7203       1.90061        8.9541        8.7626        5.6535        4.6335 
19821014.214000           11660.        10719.        5.6488       1.84598        8.9541        8.7726        5.6033        4.5618 
19821014.214000           14624.        10218.        3.8120       0.35414        9.8495        9.5991        1.6655        1.2550 
19821014.214000           14100.         8476.        4.5793       0.88847        9.8495        9.5028        3.6968        2.6736 
19821014.214000           13640.         7246.        4.1435       1.01876        9.8495        9.5108        4.0376        2.9583 
19821014.214000           20393.         8179.        5.5023       0.31506        9.8495        9.6011        1.5318        1.1643 
19821014.215000            6960.        11691.       15.0763       3.18875        8.1401        8.1468        6.6908        6.3411 
19821014.215000            9920.         9965.       11.6419       2.85877        8.1401        8.1865        6.5042        5.8171 
19821014.215000           11386.         9219.        5.7203       2.04417        8.9541        8.7314        5.4770        4.6406 
19821014.215000           11660.        10719.        5.6488       1.99134        8.9541        8.7456        5.4269        4.5771 
19821014.215000           14624.        10218.        3.8120       0.40163        9.8495        9.5019        1.7237        1.3257 
19821014.215000           14100.         8476.        4.5793       0.96888        8.9541        9.1032        3.6658        2.7514 
19821014.215000           13640.         7246.        4.1435       1.11026        8.9541        9.0965        3.9911        3.0422 
19821014.215000           20393.         8179.        5.5023       0.38833        9.8495        9.6189        1.7637        1.3292 
19821014.220000            6960.        11691.       15.0763       3.18884        8.1401        8.1468        6.6906        6.3409 
19821014.220000            9920.         9965.       11.6419       2.91471        8.1401        8.1582        6.5329        5.9130 
19821014.220000           11386.         9219.        5.7203       2.14471        8.9541        8.6789        5.3425        4.6205 
19821014.220000           11660.        10719.        5.6488       2.09335        8.9541        8.7020        5.2936        4.5641 
19821014.220000           14624.        10218.        3.8120       0.44126        8.9541        9.1947        1.7859        1.4048 
19821014.220000           14100.         8476.        4.5793       1.01389        8.9541        8.9569        3.6293        2.7979 
19821014.220000           13640.         7246.        4.1435       1.16094        8.9541        8.9489        3.9468        3.0900 
19821014.220000           20393.         8179.        5.5023       0.46809        9.8495        9.5741        1.9679        1.5025 
